year,crops,irr,nat_yield,scenario,region_code,irr_label
52,potatoes_summer,2,25.435068181959103,control,Control,Dry
52,rice,1,6.505669169203419,control,Control,Irrigated
52,soybeans,1,2.6601565060364827,control,Control,Irrigated
52,soybeans,2,2.1116144335257885,control,Control,Dry
52,sugarbeets,1,62.260806281685504,control,Control,Irrigated
52,wheat_durum,2,2.4524659474484096,control,Control,Dry
52,wheat_spring,1,4.482673449833439,control,Control,Irrigated
52,wheat_spring,2,3.5707519170333324,control,Control,Dry
52,wheat_winter,1,3.3231855043340395,control,Control,Irrigated
52,wheat_winter,2,2.7645290950712282,control,Control,Dry
53,barley_spring,1,6.594601425161418,control,Control,Irrigated
53,barley_spring,2,3.176602825156394,control,Control,Dry
53,corn_grain,1,7.6784498282801605,control,Control,Irrigated
53,corn_grain,2,7.434098635738777,control,Control,Dry
53,corn_silage,1,29.471838019472226,control,Control,Irrigated
53,corn_silage,2,22.416808336092924,control,Control,Dry
53,cotton_upland,1,0.8691606235055814,control,Control,Irrigated
53,cotton_upland,2,0.98812193675172,control,Control,Dry
53,hay_alfalfa,1,10.362923239809152,control,Control,Irrigated
53,hay_alfalfa,2,4.338014019371203,control,Control,Dry
53,hay_non_alfalfa,1,5.254295864689367,control,Control,Irrigated
53,hay_non_alfalfa,2,4.427149132840453,control,Control,Dry
53,oats_fall,2,1.3529945562976182,control,Control,Dry
53,oats_spring,1,3.4369094359971646,control,Control,Irrigated
53,oats_spring,2,2.1722426149982152,control,Control,Dry
53,potatoes_fall,1,49.83451986450791,control,Control,Irrigated
53,potatoes_summer,2,25.334017372368763,control,Control,Dry
53,rice,1,6.456770243298262,control,Control,Irrigated
53,soybeans,1,2.6547845976956936,control,Control,Irrigated
53,soybeans,2,2.1432159357721146,control,Control,Dry
53,sugarbeets,1,61.318030551023085,control,Control,Irrigated
53,wheat_durum,2,2.4572755625032627,control,Control,Dry
53,wheat_spring,1,4.425693071471979,control,Control,Irrigated
53,wheat_spring,2,3.5761945551524916,control,Control,Dry
